\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   135.8241869  -1.4057402e-04 
 0   135.8446212  -1.9833901e-04 
 0   135.8650556  5.0220151e-05  
 0   135.8854900  1.8530078e-05  
 0   135.9059244  -2.0555412e-05 
 0   135.9263587  6.3420048e-05  
 0   135.9467930  3.6242596e-05  
 0   135.9672275  -2.0400588e-04 
 0   135.9876619  -1.3117309e-04 
 0   136.0080961  1.7955212e-04  
 0   136.0285306  -1.6871991e-04 
 0   136.0489650  2.7778192e-04  
 0   136.0693993  -1.4230300e-04 
 0   136.0898336  3.1682805e-06  
 0   136.1102681  3.3648609e-04  
 0   136.1307025  1.4456756e-04  
 0   136.1511368  -5.5818378e-05 
 0   136.1715712  -2.7636188e-05 
 0   136.1920056  1.2366206e-04  
 0   136.2124399  -7.9201855e-05 
 0   136.2328743  -2.1969684e-04 
 0   136.2533087  -3.2224660e-04 
