Data for HD 219666
Garbage, time, flux
Generated by R.P. Nelson
2.640000000000000000e+02 1.325666207017127817e+03 1.000388503074645996e+00
2.650000000000000000e+02 1.325667595932754239e+03 1.000087857246398926e+00
2.660000000000000000e+02 1.325668984848614400e+03 1.000240325927734375e+00
2.670000000000000000e+02 1.325670373764241504e+03 1.000370740890502930e+00
2.680000000000000000e+02 1.325671762679867243e+03 1.000265598297119141e+00
2.690000000000000000e+02 1.325673151595726267e+03 9.999979734420776367e-01
2.700000000000000000e+02 1.325674540511353598e+03 9.998582005500793457e-01
2.710000000000000000e+02 1.325675929427212395e+03 9.998241662979125977e-01
2.720000000000000000e+02 1.325677318342838589e+03 1.000366568565368652e+00
2.730000000000000000e+02 1.325678707258698523e+03 1.000270009040832520e+00
2.740000000000000000e+02 1.325680096174325172e+03 1.000883698463439941e+00
2.750000000000000000e+02 1.325681485090184651e+03 9.999293684959411621e-01
2.760000000000000000e+02 1.325682874005810845e+03 9.997802376747131348e-01
2.770000000000000000e+02 1.325684262921437949e+03 1.000252962112426758e+00
2.780000000000000000e+02 1.325685651837297428e+03 1.000104904174804688e+00
2.790000000000000000e+02 1.325687040752923167e+03 9.993788599967956543e-01
2.800000000000000000e+02 1.325688429668550270e+03 1.000379443168640137e+00
2.810000000000000000e+02 1.325689818584409750e+03 1.000674009323120117e+00
2.820000000000000000e+02 1.325691207500035944e+03 1.000571012496948242e+00
2.830000000000000000e+02 1.325692596415896105e+03 9.994544386863708496e-01
2.840000000000000000e+02 1.325693985331522072e+03 1.000610947608947754e+00
2.850000000000000000e+02 1.325695374247148266e+03 1.000321745872497559e+00
2.860000000000000000e+02 1.325696763163008200e+03 9.995040893554687500e-01
2.870000000000000000e+02 1.325698152078633939e+03 9.996073246002197266e-01
2.880000000000000000e+02 1.325699540994260587e+03 9.995167851448059082e-01
2.890000000000000000e+02 1.325700929910120522e+03 1.000294566154479980e+00
2.900000000000000000e+02 1.325702318825747625e+03 1.000247716903686523e+00
2.910000000000000000e+02 1.325703707741374274e+03 9.996283054351806641e-01
2.920000000000000000e+02 1.325705096657000013e+03 1.000618457794189453e+00
2.930000000000000000e+02 1.325706485572859947e+03 1.000525712966918945e+00
2.940000000000000000e+02 1.325707874488486596e+03 9.996570944786071777e-01
2.950000000000000000e+02 1.325709263404112335e+03 1.000380396842956543e+00
2.960000000000000000e+02 1.325710652319739438e+03 9.993768930435180664e-01
2.970000000000000000e+02 1.325712041235598690e+03 9.999651908874511719e-01
2.980000000000000000e+02 1.325713430151225111e+03 9.996541738510131836e-01
2.990000000000000000e+02 1.325714819066852215e+03 1.000356674194335938e+00
3.000000000000000000e+02 1.325716207982477954e+03 1.000625491142272949e+00
3.010000000000000000e+02 1.325717596898337433e+03 9.997845292091369629e-01
3.020000000000000000e+02 1.325718985813964537e+03 1.001017451286315918e+00
3.030000000000000000e+02 1.325720374729591185e+03 1.001153349876403809e+00
3.040000000000000000e+02 1.325721763645217379e+03 1.000049233436584473e+00
3.050000000000000000e+02 1.325723152560844028e+03 9.995657801628112793e-01
3.060000000000000000e+02 1.325724541476703280e+03 1.000535368919372559e+00
3.070000000000000000e+02 1.325725930392329701e+03 9.995651841163635254e-01
3.080000000000000000e+02 1.325727319307956350e+03 1.000718593597412109e+00
3.090000000000000000e+02 1.325728708223583453e+03 1.000493407249450684e+00
3.100000000000000000e+02 1.325730097139209647e+03 9.998713731765747070e-01
3.110000000000000000e+02 1.325731486054835614e+03 1.000852584838867188e+00
3.120000000000000000e+02 1.325732874970462944e+03 9.996652603149414062e-01
3.130000000000000000e+02 1.325734263886321969e+03 1.000609755516052246e+00
3.140000000000000000e+02 1.325735652801947708e+03 9.995674490928649902e-01
3.150000000000000000e+02 1.325737041717575039e+03 9.992055296897888184e-01
3.160000000000000000e+02 1.325738430633202370e+03 9.994727969169616699e-01
3.170000000000000000e+02 1.325739819548828564e+03 9.991722106933593750e-01
3.180000000000000000e+02 1.325741208464455212e+03 1.000827312469482422e+00
3.190000000000000000e+02 1.325742597380081406e+03 1.000272274017333984e+00
3.200000000000000000e+02 1.325743986295708055e+03 9.999278187751770020e-01
3.210000000000000000e+02 1.325745375211334704e+03 1.000087022781372070e+00
3.220000000000000000e+02 1.325746764126960898e+03 1.000029802322387695e+00
3.230000000000000000e+02 1.325748153042587546e+03 1.000042080879211426e+00
3.240000000000000000e+02 1.325749541958213740e+03 9.994848370552062988e-01
3.250000000000000000e+02 1.325750930873841071e+03 1.000898838043212891e+00
3.260000000000000000e+02 1.325752319789467492e+03 1.000028252601623535e+00
3.270000000000000000e+02 1.325753708705326062e+03 9.990281462669372559e-01
3.280000000000000000e+02 1.325755097620953165e+03 9.997102618217468262e-01
3.290000000000000000e+02 1.325756486536580496e+03 1.000079512596130371e+00
3.300000000000000000e+02 1.325757875452206463e+03 1.000522851943969727e+00
3.310000000000000000e+02 1.325759264367832657e+03 1.000464797019958496e+00
3.320000000000000000e+02 1.325760653283459760e+03 9.995377659797668457e-01
3.330000000000000000e+02 1.325762042198853578e+03 9.996914863586425781e-01
3.340000000000000000e+02 1.325763431114479999e+03 9.993227124214172363e-01
3.350000000000000000e+02 1.325764820030106421e+03 1.000402450561523438e+00
3.360000000000000000e+02 1.325766208945733069e+03 9.999728798866271973e-01
3.370000000000000000e+02 1.325767597861359263e+03 9.996815919876098633e-01
3.380000000000000000e+02 1.325768986776985912e+03 9.990338087081909180e-01
3.390000000000000000e+02 1.325770375692612561e+03 9.999543428421020508e-01
3.400000000000000000e+02 1.325771764608238755e+03 9.985409379005432129e-01
3.410000000000000000e+02 1.325773153523865858e+03 1.000254869461059570e+00
3.420000000000000000e+02 1.325774542439492961e+03 9.998701214790344238e-01
3.430000000000000000e+02 1.325775931355118928e+03 1.001357913017272949e+00
3.440000000000000000e+02 1.325777320270745349e+03 1.000041246414184570e+00
3.450000000000000000e+02 1.325778709186372453e+03 1.000249505043029785e+00
3.460000000000000000e+02 1.325780098101998192e+03 1.000396251678466797e+00
3.470000000000000000e+02 1.325781487017392010e+03 9.997498393058776855e-01
3.480000000000000000e+02 1.325782875933019113e+03 9.993685483932495117e-01
3.490000000000000000e+02 1.325784264848644852e+03 1.000331997871398926e+00
3.500000000000000000e+02 1.325785653764271501e+03 9.993919730186462402e-01
3.510000000000000000e+02 1.325787042679898605e+03 1.000607728958129883e+00
3.520000000000000000e+02 1.325788431595525708e+03 1.000087261199951172e+00
3.530000000000000000e+02 1.325789820511152357e+03 9.996158480644226074e-01
3.540000000000000000e+02 1.325791209426545265e+03 1.001060247421264648e+00
3.550000000000000000e+02 1.325792598342172369e+03 1.000035524368286133e+00
3.560000000000000000e+02 1.325793987257798562e+03 1.000796079635620117e+00
3.570000000000000000e+02 1.325795376173424529e+03 1.000143170356750488e+00
3.580000000000000000e+02 1.325796765089051860e+03 9.995841383934020996e-01
3.590000000000000000e+02 1.325798154004445223e+03 9.999417662620544434e-01
3.600000000000000000e+02 1.325799542920071872e+03 9.999985098838806152e-01
3.610000000000000000e+02 1.325800931835698975e+03 1.000822305679321289e+00
3.620000000000000000e+02 1.325802320751324714e+03 9.985121488571166992e-01
3.630000000000000000e+02 1.325803709666718532e+03 9.998264312744140625e-01
3.640000000000000000e+02 1.325805098582345636e+03 1.000397682189941406e+00
3.650000000000000000e+02 1.325806487497971830e+03 1.000800132751464844e+00
3.660000000000000000e+02 1.325807876413598478e+03 9.991029500961303711e-01
3.670000000000000000e+02 1.325809265328992296e+03 9.994714260101318359e-01
3.680000000000000000e+02 1.325810654244619400e+03 1.000251650810241699e+00
3.690000000000000000e+02 1.325812043160245594e+03 9.995656609535217285e-01
3.700000000000000000e+02 1.325813432075871560e+03 9.984891414642333984e-01
3.710000000000000000e+02 1.325814820991266060e+03 9.992603659629821777e-01
3.720000000000000000e+02 1.325816209906892254e+03 9.988670349121093750e-01
3.730000000000000000e+02 1.325817598822517994e+03 1.000586986541748047e+00
3.740000000000000000e+02 1.325818987737912266e+03 1.000258326530456543e+00
3.750000000000000000e+02 1.325820376653538915e+03 9.984195232391357422e-01
3.760000000000000000e+02 1.325821765569165564e+03 1.000686645507812500e+00
3.770000000000000000e+02 1.325823154484559836e+03 9.993727207183837891e-01
3.780000000000000000e+02 1.325824543400186030e+03 1.000210881233215332e+00
3.790000000000000000e+02 1.325825932315812679e+03 9.997721910476684570e-01
3.800000000000000000e+02 1.325827321231206497e+03 1.000281214714050293e+00
3.810000000000000000e+02 1.325828710146832691e+03 9.987787604331970215e-01
3.820000000000000000e+02 1.325830099062459340e+03 9.988591074943542480e-01
3.830000000000000000e+02 1.325831487977852703e+03 9.995062351226806641e-01
